0		0	0
7	0	-0.05	84.49	2.20	88.39	2.20	88.39
0	1	0	0	0.00	0	0.00	0
7	1	-17.49	78.45	-15.24	82.35	-15.24	82.35
0	1	0	0	0.00	0	0.00	0
7	1	-31.44	66.37	-31.10	61.88	-35.73	65.01
0	1	0	0	0.00	0	0.00	0
7	1	-35.38	60.52	-35.73	65.01	-35.59	56.03
0	1	0	0	0.00	0	0.00	0
7	1	-31.44	54.28	-35.59	56.03	-31.24	58.78
0	1	0	0	0.00	0	0.00	0
7	1	-35.38	60.52	-31.24	58.78	-31.10	61.88
0	1	0	0	0.00	0	0.00	0
7	1	-48.89	60.33	-46.64	64.22	-46.64	64.22
0	1	0	0	0.00	0	0.00	0
7	0	-69.81	48.24	-67.56	52.14	-73.71	50.49
0	1	0	0	0.00	0	0.00	0
7	1	-73.3	30.12	-71.05	34.01	-71.05	34.01
0	1	0	0	0.00	0	0.00	0
7	1	-69.82	11.99	-67.57	15.89	-67.57	15.89
0	1	0	0	0.00	0	0.00	0
7	1	-73.31	-6.14	-71.06	-2.24	-71.06	-2.24
0	1	0	0	0.00	0	0.00	0
7	1	-69.82	-24.26	-67.57	-20.37	-67.57	-20.37
0	1	0	0	0.00	0	0.00	0
7	1	-69.82	-36.35	-67.57	-32.45	-67.57	-32.45
0	1	0	0	0.00	0	0.00	0
7	0	-69.82	-48.43	-74.33	-48.15	-67.17	-52.07
0	1	0	0	0.00	0	0.00	0
7	1	-59.35	-54.47	-57.10	-50.58	-57.10	-50.58
0	1	0	0	0.00	0	0.00	0
7	1	-41.91	-60.51	-38.12	-58.09	-38.29	-63.19
0	1	0	0	0.00	0	0.00	0
7	0	-34.5	-60.76	-38.29	-63.19	-35.23	-65.17
0	1	0	0	0.00	0	0.00	0
7	0	-34.5	-60.76	-35.23	-65.17	-30.43	-58.86
0	1	0	0	0.00	0	0.00	0
7	0	-31.44	-54.47	-30.43	-58.86	-35.52	-56.38
0	1	0	0	0.00	0	0.00	0
7	1	-34.5	-60.76	-35.52	-56.38	-38.12	-58.09
0	1	0	0	0.00	0	0.00	0
7	1	-27.96	-72.6	-25.71	-68.7	-25.71	-68.7
0	1	0	0	0.00	0	0.00	0
7	0	-7.03	-84.68	-11.50	-84.21	-6.23	-89.11
0	1	0	0	0.00	0	0.00	0
7	1	10.42	-78.64	12.67	-74.74	12.67	-74.74
0	1	0	0	0.00	0	0.00	0
7	1	24.37	-66.56	26.62	-62.66	26.62	-62.66
0	1	0	0	0.00	0	0.00	0
7	1	41.81	-60.51	44.06	-56.62	44.06	-56.62
0	1	0	0	0.00	0	0.00	0
7	1	55.76	-48.43	58.01	-44.53	58.01	-44.53
0	1	0	0	0.00	0	0.00	0
7	1	73.2	-42.39	75.45	-38.49	75.45	-38.49
0	1	0	0	0.00	0	0.00	0
7	1	76.69	-24.26	78.94	-20.37	78.94	-20.37
0	1	0	0	0.00	0	0.00	0
7	1	73.21	-6.14	69.07	-4.36	73.41	-1.64
0	1	0	0	0.00	0	0.00	0
7	1	69.27	0.14	73.41	-1.64	65.90	3.12
0	1	0	0	0.00	0	0.00	0
7	1	62.74	-0.09	65.90	3.12	66.11	-3.06
0	1	0	0	0.00	0	0.00	0
7	1	69.27	0.14	66.11	-3.06	69.07	-4.36
0	1	0	0	0.00	0	0.00	0
7	1	76.69	11.99	78.94	15.89	78.94	15.89
0	1	0	0	0.00	0	0.00	0
7	0	76.7	36.16	79.27	32.47	78.95	40.06
0	1	0	0	0.00	0	0.00	0
