0		0	0
3	1	0	0	0.01	0.01	10.0	0.01
0	1	0	0	0	0	0	0
3	1	0	0	10.0	0.01	10.0	10.0
0	1	0	0	0	0	0	0
3	1	0	0	10.0	10.0	20.0	10.0
0	1	0	0	0	0	0	0
3	1	0	0	20.0	10.0	20.0	20.0
0	1	0	0	0	0	0	0
3	1	0	0	20.0	20.0	30.0	20.0
0	1	0	0	0	0	0	0
3	1	0	0	30.0	20.0	30.0	30.0
0	1	0	0	0	0	0	0
3	1	0	0	30.0	30.0	40.0	30.0
0	1	0	0	0	0	0	0
3	1	0	0	40.0	30.0	40.0	40.0
0	1	0	0	0	0	0	0
3	1	0	0	40.0	40.0	50.0	40.0
0	1	0	0	0	0	0	0
3	1	0	0	50.0	40.0	50.0	50.0
0	1	0	0	0	0	0	0
3	1	0	0	50.0	50.0	60.0	50.0
0	1	0	0	0	0	0	0
3	1	0	0	60.0	50.0	60.0	60.0
0	1	0	0	0	0	0	0
3	1	0	0	60.0	60.0	70.0	60.0
0	1	0	0	0	0	0	0
